player,team,gp,min,pts,ftm,fga,fg%
Giannis Antetokounmpo,MIL,5,37.6,33.0,12.0,19.8,60.6
Luka Dončić,LAL,5,41.6,30.2,9.4,20.8,45.2
Shai Gilgeous-Alexander,OKC,23,37.0,29.9,10.1,21.9,46.2
Donovan Mitchell,CLE,9,32.0,29.6,9.6,21.6,44.3
Jalen Brunson,NYK,18,37.8,29.4,10.1,21.8,46.1
Paolo Banchero,ORL,5,39.4,29.4,10.8,24.8,43.5
Jayson Tatum,BOS,8,40.3,28.1,9.3,21.9,42.3
Nikola Jokić,DEN,14,40.2,26.2,9.4,19.1,48.9
Franz Wagner,ORL,5,39.0,25.8,10.2,23.0,44.3
LeBron James,LAL,5,40.8,25.4,8.6,17.6,48.9
Anthony Edwards,MIN,15,39.0,25.3,9.0,19.9,45.3
Cade Cunningham,DET,6,41.3,25.0,9.2,21.5,42.6
Kawhi Leonard,LAC,7,37.9,25.0,9.4,17.6,53.7
Jaylen Brown,BOS,11,36.5,22.1,7.8,17.7,44.1
Jamal Murray,DEN,14,41.3,21.8,7.9,17.9,44.4
Julius Randle,MIN,15,35.5,21.7,7.7,15.3,50.2
Karl-Anthony Towns,NYK,18,35.5,21.4,7.7,15.8,48.8
Jalen Williams,OKC,23,34.6,21.4,7.7,17.2,44.9
Alperen Sengun,HOU,7,36.6,20.9,8.4,18.7,45.0
Pascal Siakam,IND,23,33.5,20.5,7.6,14.8,51.3
Jimmy Butler III,GSW,11,36.1,19.2,6.2,13.8,44.7
Derrick White,BOS,11,37.7,18.8,6.2,13.4,46.3
Gary Trent Jr.,MIL,5,34.2,18.8,6.4,12.4,51.6
Fred VanVleet,HOU,7,40.0,18.7,5.7,13.3,43.0
James Harden,LAC,7,39.4,18.7,6.3,14.4,43.6
Ja Morant,MEM,3,27.3,18.3,7.3,17.7,41.5
Scotty Pippen Jr.,MEM,4,32.3,18.3,5.5,14.5,37.9
Tyler Herro,MIA,4,36.0,17.8,6.8,16.3,41.5
Bam Adebayo,MIA,4,38.3,17.5,7.0,16.0,43.8
Ivica Zubac,LAC,7,36.6,17.4,7.7,11.7,65.9
Tyrese Haliburton,IND,23,33.6,17.3,6.3,13.7,46.3
Evan Mobley,CLE,8,32.1,17.1,6.4,10.9,58.6
OG Anunoby,NYK,18,39.2,16.3,5.7,13.7,41.7
Aaron Gordon,DEN,14,37.3,16.2,5.8,11.9,48.5
Austin Reaves,LAL,5,39.2,16.2,6.0,14.6,41.1
Jaren Jackson Jr.,MEM,4,34.3,16.0,5.5,14.5,37.9
Norman Powell,LAC,7,34.0,16.0,6.0,12.7,47.2
Amen Thompson,HOU,7,33.0,15.7,6.0,12.1,49.4
Tobias Harris,DET,6,38.8,15.7,5.7,11.8,47.9
Mikal Bridges,NYK,18,39.2,15.6,6.7,14.6,45.6
Desmond Bane,ORL,4,34.8,15.3,5.0,15.8,31.7
Chet Holmgren,OKC,23,29.8,15.2,5.3,11.6,46.2
Davion Mitchell,MIA,4,35.5,15.0,6.3,10.3,61.0
Rui Hachimura,LAL,5,36.4,14.8,5.6,11.4,49.1
Jaden McDaniels,MIN,15,33.1,14.7,5.8,11.3,51.5
Bobby Portis,MIL,5,31.6,14.0,6.0,13.6,44.1
Malik Beasley,DET,6,27.2,14.0,4.7,12.5,37.3
Myles Turner,IND,23,29.3,13.8,4.6,9.5,48.4
Jarrett Allen,CLE,9,29.0,13.4,4.9,6.8,72.1
Jalen Green,HOU,7,31.3,13.3,4.6,12.3,37.2
